id,name,account,card,features,news
18,Rides,"{'id': 25, 'number': '0009-9', 'agency': '0001', 'balance': 0.0, 'limit': 0.0}","{'id': 18, 'number': '**** **** **** 111', 'limit': 0.0}","[{'id': 12, 'icon': 'string', 'description': 'string'}]","[{'id': 32, 'icon': 'string', 'description': 'string'}, {'id': 260, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 261, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 976, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Rides, por conseguinte, o desenvolvimento contínuo de distintas formas de atuação obstaculiza a apreciação da importância das novas proposições. '}]"
19,Money Trees,"{'id': 26, 'number': '0008-9', 'agency': '0001', 'balance': 0.0, 'limit': 0.0}","{'id': 19, 'number': '**** **** **** 222', 'limit': 0.0}","[{'id': 13, 'icon': 'string', 'description': 'string'}]","[{'id': 33, 'icon': 'string', 'description': 'string'}, {'id': 262, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 263, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 977, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Money Trees, todas estas questões, devidamente ponderadas, levantam dúvidas sobre se a consulta aos diversos militantes maximiza as possibilidades por conta das diretrizes de desenvolvimento para o futuro. '}]"
20,a lot,"{'id': 27, 'number': '0007-9', 'agency': '0001', 'balance': 0.0, 'limit': 0.0}","{'id': 20, 'number': '**** **** **** 333', 'limit': 0.0}","[{'id': 14, 'icon': 'string', 'description': 'string'}]","[{'id': 34, 'icon': 'string', 'description': 'string'}, {'id': 133, 'icon': '🤑', 'description': None}, {'id': 141, 'icon': '🤑', 'description': None}, {'id': 149, 'icon': '🤑', 'description': 'a lot, Invista hoje, colha frutos financeiros amanhã.'}, {'id': 157, 'icon': '🤑', 'description': 'a lot, Invista no que importa. Colha recompensas duradouras.'}, {'id': 264, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 265, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 978, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'a lot, caros amigos, a consulta aos diversos militantes apresenta tendências no sentido de aprovar a manutenção das condições financeiras e administrativas exigidas. '}]"
21,Pyterson,"{'id': 28, 'number': '00012-1', 'agency': '0001', 'balance': 0.0, 'limit': 500.0}","{'id': 21, 'number': '**** **** **** 3232', 'limit': 1000.0}",[],"[{'id': 266, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 267, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 979, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Pyterson, o que temos que ter sempre em mente é que a contínua expansão de nossa atividade aponta para a melhoria das posturas dos órgãos dirigentes com relação às suas atribuições. '}]"
22,Homero,"{'id': 29, 'number': '00013-1', 'agency': '0001', 'balance': 0.0, 'limit': 1500.0}","{'id': 22, 'number': '**** **** **** 6632', 'limit': 2000.0}",[],"[{'id': 268, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 269, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 980, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Homero, o incentivo ao avanço tecnológico, assim como a determinação clara de objetivos agrega valor ao estabelecimento das formas de ação. '}]"
23,Caroline,"{'id': 30, 'number': '00014-1', 'agency': '0001', 'balance': 0.0, 'limit': 700.0}","{'id': 23, 'number': '**** **** **** 6677', 'limit': 2500.0}",[],"[{'id': 270, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 271, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 981, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Caroline, nunca é demais lembrar o peso e o significado destes problemas, uma vez que a revolução dos costumes estimula a padronização dos conhecimentos estratégicos para atingir a excelência. '}]"
24,Mar,"{'id': 31, 'number': '00015-1', 'agency': '0001', 'balance': 0.0, 'limit': 2700.0}","{'id': 24, 'number': '**** **** **** 886677', 'limit': 3500.0}",[],"[{'id': 272, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 273, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 982, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Mar, por conseguinte, a revolução dos costumes não pode mais se dissociar do fluxo de informações. '}]"
26,ocean,"{'id': 33, 'number': '00001-1', 'agency': '0001', 'balance': 0.0, 'limit': 500.0}","{'id': 26, 'number': '**** **** **** 1111', 'limit': 1000.0}",[],"[{'id': 274, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 275, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 983, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'ocean, é importante questionar o quanto a revolução dos costumes é uma das consequências das formas de ação. '}]"
27,Predu,"{'id': 34, 'number': '99999-07', 'agency': '0007', 'balance': 4000.0, 'limit': 10000.0}","{'id': 27, 'number': '**** **** **** 7777', 'limit': 10000.0}",[],"[{'id': 170, 'icon': None, 'description': 'Prezado Predu,Invista seu dinheiro e alcance seus objetivos financeiros.Atenciosamente,Especialista em marketing bancário'}, {'id': 276, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 277, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 984, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Predu, desta maneira, a estrutura atual da organização promove a alavancagem dos relacionamentos verticais entre as hierarquias. '}]"
28,Pamonha,"{'id': 35, 'number': '100000-08', 'agency': '0007', 'balance': 4000.0, 'limit': 10000.0}","{'id': 28, 'number': '**** **** **** 8888', 'limit': 10000.0}",[],"[{'id': 171, 'icon': None, 'description': 'Oi Pamonha,Invista para ter um futuro melhor.Um abraço,Especialista em marketing bancário'}, {'id': 278, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 279, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 985, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Pamonha, o cuidado em identificar pontos críticos no surgimento do comércio virtual faz parte de um processo de gerenciamento das condições financeiras e administrativas exigidas. '}]"
29,Faustão,"{'id': 36, 'number': '100000-09', 'agency': '0007', 'balance': 4000.0, 'limit': 10000.0}","{'id': 29, 'number': '**** **** **** 9999', 'limit': 10000.0}",[],"[{'id': 172, 'icon': None, 'description': 'Olá, Faustão!Invista seu dinheiro e alcance seus objetivos. Converse com um especialista em investimentos hoje.'}, {'id': 280, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 281, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 986, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Faustão, a certificação de metodologias que nos auxiliam a lidar com o acompanhamento das preferências de consumo cumpre um papel essencial na formulação dos procedimentos normalmente adotados. '}]"
30,Ocean,"{'id': 37, 'number': '10001-1', 'agency': '0001', 'balance': 0.0, 'limit': 500.0}","{'id': 30, 'number': '1111 **** **** 1111', 'limit': 1000.0}",[],"[{'id': 42, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Invista para prosperar! #OceanInvestimentos'}, {'id': 282, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 283, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 987, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Ocean, caros amigos, a contínua expansão de nossa atividade acarreta um processo de reformulação e modernização das condições inegavelmente apropriadas. '}]"
31,Deyla,"{'id': 38, 'number': '20002-2', 'agency': '0001', 'balance': 0.0, 'limit': 500.0}","{'id': 31, 'number': '2222 **** **** 2222', 'limit': 1000.0}",[],"[{'id': 43, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Invista para um futuro mais seguro e próspero!'}, {'id': 284, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 285, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 988, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Deyla, todas estas questões, devidamente ponderadas, levantam dúvidas sobre se a crescente influência da mídia é uma das consequências das novas proposições. '}]"
32,Thanos,"{'id': 39, 'number': '30003-3', 'agency': '0001', 'balance': 0.0, 'limit': 500.0}","{'id': 32, 'number': '3333 **** **** 3333', 'limit': 1000.0}",[],"[{'id': 44, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Thanos, os investimentos fazem seu futuro florescer. #PensandoAlémDoEstalarDeDedos'}, {'id': 286, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 287, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 989, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Thanos, a nível organizacional, a crescente influência da mídia nos obriga à análise das direções preferenciais no sentido do progresso. '}]"
33,Ada Shelby,"{'id': 40, 'number': '0004-4', 'agency': '004', 'balance': 0.0, 'limit': 400.0}","{'id': 33, 'number': '**** **** **** 4444', 'limit': 4000.0}",[],"[{'id': 288, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 289, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 990, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Ada Shelby, por outro lado, o julgamento imparcial das eventualidades estende o alcance e a importância dos modos de operação convencionais. '}]"
34,John Shelby,"{'id': 41, 'number': '0005-5', 'agency': '005', 'balance': 0.0, 'limit': 500.0}","{'id': 34, 'number': '**** **** **** 5555', 'limit': 5000.0}",[],"[{'id': 290, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 291, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 991, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'John Shelby, o que temos que ter sempre em mente é que a determinação clara de objetivos afeta positivamente a correta previsão do orçamento setorial. '}]"
35,Michael Gray,"{'id': 42, 'number': '0006-6', 'agency': '006', 'balance': 0.0, 'limit': 600.0}","{'id': 35, 'number': '**** **** **** 6666', 'limit': 6000.0}",[],"[{'id': 292, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 293, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 992, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Michael Gray, o incentivo ao avanço tecnológico, assim como o julgamento imparcial das eventualidades agrega valor ao estabelecimento das novas proposições. '}]"
36,jason,"{'id': 43, 'number': '0010-1', 'agency': '2212', 'balance': 0.0, 'limit': 12.0}","{'id': 36, 'number': '**** **** **** 5005', 'limit': 100.0}","[{'id': 15, 'icon': 'string', 'description': 'string'}]","[{'id': 294, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 295, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 993, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'jason, pensando mais a longo prazo, a adoção de políticas descentralizadoras acarreta um processo de reformulação e modernização do levantamento das variáveis envolvidas. '}, {'id': 45, 'icon': 'string', 'description': 'string'}]"
37,jason,"{'id': 44, 'number': '00010-1', 'agency': '2212', 'balance': 0.0, 'limit': 12.0}","{'id': 37, 'number': '**** **** **** 5001', 'limit': 100.0}","[{'id': 16, 'icon': 'string', 'description': 'string'}]","[{'id': 46, 'icon': 'string', 'description': 'string'}, {'id': 296, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 297, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 994, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'jason, pensando mais a longo prazo, a hegemonia do ambiente político cumpre um papel essencial na formulação de todos os recursos funcionais envolvidos. '}]"
38,Leo,"{'id': 45, 'number': '00021-1', 'agency': '2212', 'balance': 0.0, 'limit': 12.0}","{'id': 38, 'number': '**** **** **** 5022', 'limit': 100.0}","[{'id': 17, 'icon': 'string', 'description': 'string'}]","[{'id': 47, 'icon': 'string', 'description': 'string'}, {'id': 298, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 299, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 995, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Leo, gostaria de enfatizar que a expansão dos mercados mundiais facilita a criação das diversas correntes de pensamento. '}]"
39,Bruna,"{'id': 46, 'number': '00031-1', 'agency': '2212', 'balance': 0.0, 'limit': 12.0}","{'id': 39, 'number': '**** **** **** 5033', 'limit': 100.0}","[{'id': 18, 'icon': 'string', 'description': 'string'}]","[{'id': 48, 'icon': 'string', 'description': 'string'}, {'id': 300, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 301, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 996, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Bruna, o incentivo ao avanço tecnológico, assim como o entendimento das metas propostas agrega valor ao estabelecimento dos relacionamentos verticais entre as hierarquias. '}]"
40,Mary,"{'id': 47, 'number': '0000-1', 'agency': '0001', 'balance': 0.0, 'limit': 0.0}","{'id': 40, 'number': '**** **** **** 2424', 'limit': 1000.0}",[],"[{'id': 302, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 303, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 997, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Mary, assim mesmo, o julgamento imparcial das eventualidades aponta para a melhoria das regras de conduta normativas. '}]"
